composicion,estrofa,caracter,duracion,velocidad,tiempoPausas,enePausas,PausasPorTiempo,tiempoEnunciados,eneEnunciados,EnunciadosPorTiempo
001,1,a,15.052610761525987,1.5052610761525986,1.3196449667715662,2,0.6598224833857831,13.73296579475442,10,1.3732965794754421
001,2,a,16.019202596430627,1.6019202596430628,1.2055714186566675,2,0.6027857093283338,14.81363117777396,10,1.481363117777396
001,3,a,14.757053983101635,1.4757053983101636,1.0248224402597472,2,0.5124112201298736,13.732231542841888,10,1.3732231542841888
001,4,a,16.157754246746137,1.6157754246746137,1.2557493093648304,2,0.6278746546824152,14.902004937381307,10,1.4902004937381306
001,5,a,17.300018697118745,1.7300018697118744,1.3367296271459992,2,0.6683648135729996,15.963289069972745,10,1.5963289069972746
002,1,b,16.09945992006739,1.609945992006739,2.420963183838669,3,0.8069877279462231,13.67849673622872,10,1.367849673622872
002,2,b,16.35344449668039,1.635344449668039,1.9268035121896148,2,0.9634017560948074,14.426640984490774,10,1.4426640984490775
002,3,b,16.530648096809223,1.6530648096809224,2.377858754059588,4,0.594464688514897,14.152789342749635,10,1.4152789342749634
002,4,b,17.14181948130333,1.7141819481303329,2.153690992784348,3,0.7178969975947828,14.988128488518981,10,1.4988128488518981
002,5,b,16.493361148798556,1.6493361148798555,2.378133081876342,4,0.5945332704690856,14.115228066922214,10,1.4115228066922214
003,1,z,13.695830130969513,1.3695830130969513,1.36156138685,3,0.45385379561666667,12.334268744119512,10,1.2334268744119512
003,2,z,13.888027454684531,1.388802745468453,1.4321773563047842,4,0.35804433907619604,12.455850098379747,10,1.2455850098379746
003,3,z,13.686262049863416,1.3686262049863416,1.4997079998061302,4,0.37492699995153256,12.186554050057286,10,1.2186554050057286
003,4,z,15.072994402913267,1.5072994402913267,2.4863594288144526,5,0.4972718857628905,12.586634974098814,10,1.2586634974098814
003,5,z,13.0741955058772,1.30741955058772,1.5163188379989734,4,0.37907970949974334,11.557876667878226,10,1.1557876667878226
