composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
001,a,1,1,2,1.4085754241336286,301.0892163490773,8.838956563453875,-3.318951918885519,-0.7559644448803566,-24.03478672364656
001,a,1,2,2,1.2925067380952715,259.6886477760034,5.027628382579775,-3.871439350730114,-1.5349747367745152,-13.613764739763761
001,a,1,3,2,1.3789225169887764,259.6079554566296,5.439071602400751,-4.517929678693774,-1.3692176955742568,-16.093826510093905
001,a,1,4,2,1.302058333468528,253.82236151039086,8.870537164537634,-8.728257127969421,-1.0909223013937306,-44.18695520722284
001,a,1,5,2,1.397213804069274,322.0746482946002,10.016651247356997,-5.409868869065713,-1.2697316586570067,-29.574420415752517
001,a,1,6,2,1.2295813549779844,265.7628185928862,4.091747285730723,-2.279890411632631,-1.1180379097744348,-12.200830776469658
001,a,1,7,2,1.49269418790821,245.85448081040695,6.167304750487737,-3.9080131579820367,-1.9393362160457737,-15.934592612816996
001,a,1,8,3,1.4967429984305767,278.98888485409356,10.160637665347847,0.6608084207452595,5.8901782484527825,1.907091176958923
001,a,1,9,3,1.3344969727576697,272.85524352151174,8.481912174391548,-1.934151905159384,-4.156476849563155,-7.921437250263352
001,a,1,10,2,1.299799706082915,256.45993146573034,10.423901076960366,-6.794859409084535,-2.310932231013019,-26.246816573409212
001,a,2,1,2,1.4520432168756194,298.7344231385957,10.460633660501447,-4.427922137547544,-4.098178815523964,-16.38573070745173
001,a,2,2,2,1.4039159423783225,264.95758833224994,5.563560456809852,-2.2437705807824906,0.7825725250803579,-11.571155060797055
001,a,2,3,2,1.5366816317686478,267.004273434928,7.60021920007774,-0.7405310127999973,0.36756224304656987,-2.2846203117085473
001,a,2,4,3,1.2951044738300226,262.0520739771016,10.249146353011927,-0.9255618846525927,2.7320323460868208,-3.868751596603006
001,a,2,5,3,1.547602280805016,305.0159339782546,9.053782805419829,-3.069735314950079,-3.2577389325255353,-13.10711081002411
001,a,2,6,2,1.4323010331964028,258.1806779897952,4.604832936371407,-2.4593680017803363,-0.5899346971097816,-7.8127242179932885
