composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
006,p,2,6,2,1.3843497332589934,273.2398710057878,9.580027576768446,-8.782591626779777,-3.869933938803036,-26.754345397661886
006,p,2,7,3,1.3631992749409534,286.19611818230766,8.708172968003016,-2.564255106141405,-4.047080666839604,-13.718676159058445
006,p,2,8,2,1.5176500433853555,297.9708020899162,15.69613973762985,3.786154875071663,8.581981337478993,12.587531412821221
006,p,2,9,3,1.1593596521649054,343.79657756926565,11.783064372651424,-3.0134242452034323,-7.4210530695750565,-15.938514210311551
006,p,2,10,2,1.44527460775344,243.80743756907893,8.19841878509725,-6.490302630791959,-2.8821019405522965,-16.757493548531503
006,p,3a,1,2,1.4114500681877757,344.76620220967595,7.18861208560759,-4.951798200305169,1.223187030066095,-20.603309713117806
006,p,3a,2,2,1.1552474380354596,280.13954392112953,8.95174848111005,-5.085315304124975,-2.403900687106251,-26.228150515186424
006,p,3a,3,2,1.5269867883543924,256.4811361759335,6.857343804146246,-2.206356337181397,0.5200219257973059,-16.613610066602195
006,p,3a,4,2,1.429989083137805,258.53664045078415,8.886915428331525,-7.021059631027846,-0.6993205171360883,-24.164453521940647
006,p,3a,5,3,1.4294674248207286,336.97154508897023,11.030355656866229,-6.361789322725775,-5.619724522650274,-24.23019701094887
006,p,3a,6,4,1.4028705770213108,259.29626058189956,9.790142856456779,-3.319415019374799,-0.14180574069974752,-28.816535202918182
006,p,3a,7,2,1.1712479975504237,242.78589288534357,5.759676183233507,-0.680245507617298,1.4665893988100362,-8.86345614997384
006,p,3a,8,2,1.4902209414298895,314.8450275129872,13.352824226128565,3.7067440234084232,6.698087690366742,8.430067902643895
006,p,3a,9,3,1.3611296809058402,289.8123751184652,12.990952962750097,-3.1709151463335603,-8.085535603834005,-11.804673896660416
006,p,3a,10,3,0.994646863376623,231.33902010925365,18.5601855053475,-2.092830141483362,-0.0820174402400436,-20.318180780934792
006,p,4,1,2,1.2692580863413738,272.81806091291884,9.090954399635073,-5.747271444651394,-0.7930775682469747,-39.40215092778242
006,p,4,2,3,1.2241568490158983,242.06373354960257,6.674816550872981,-4.447667168887061,-0.48101113579908833,-27.755831810117417
006,p,4,3,2,1.2119739565075633,278.3428616745481,9.437882113434286,-4.876908056060287,-0.0656475866232352,-30.04927831744338
006,p,4,4,2,1.2236662953979263,254.76317501884213,10.545616705258993,-8.958143223107825,-0.34756282903145475,-33.542174878216464
006,p,4,5,2,1.2050217336715292,342.7465068195512,9.38937719279701,-3.8532624633142536,2.242543333577253,-26.79459032498636
006,p,4,6,2,1.539196222269318,269.1461699822411,7.538146316059286,-5.282311071737221,-3.3375745989205945,-21.606955676996723
006,p,4,7,3,1.526654672851933,237.83385503336368,5.707184945116277,-3.4184198651321545,0.7406960730809057,-14.10132641878945
006,p,4,8,3,1.5560828708616299,292.31534727232315,15.165136322909605,1.0935955876883525,8.13149959608983,3.6212289533006046
006,p,4,9,3,1.0188610572466956,351.0674612261564,10.710572921061525,-3.2351201420869278,-8.295336591925127,-21.87129441149284
006,p,4,10,3,1.2771899892283614,239.32959143556735,17.062525491462445,-13.242025687186532,-8.824509300709728,-46.37203930032771
006,p,5,1,3,1.3629808580957103,350.79836356499214,7.297754195148508,-4.149668321831433,-0.7639525140500526,-18.182598824420563
006,p,5,2,2,1.1749306940432547,283.0134775459456,7.005623941217797,2.4693088047737493,1.2811301974217972,10.104412079780666
006,p,5,3,3,1.3395934547696413,243.75075122954925,4.553582813229355,-2.0899448831168708,-1.605770743812394,-19.40942086442663
