composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxfo,stMm,pendiente_v,st_t,pendiente_t
muestra_2,1,n,1,1.524313384241305,5.248264617175051,226.7483739909859,379.4559017155383,8.91408033632463,-0.01562499882573061,-5.681309787878321,-25.881475764131253
muestra_2,1,n,2,1.5738278864326471,5.083147953448316,199.41699068451396,314.5081365377874,7.887708070913157,-0.020843727571168046,-7.135886101371067,-23.588741063956032
muestra_2,1,n,3,1.4244865541434182,5.616058625987252,230.71773490687923,392.8101790811554,9.212440913145132,-0.015364033764067584,-6.429993922378937,-31.998480978295376
muestra_2,1,n,4,1.391283472811904,5.750086273813999,198.35914026533607,329.5054068362886,8.786247132364302,-0.03479809510411153,-8.177552349466211,-32.55608094965015
muestra_2,1,n,5,1.3298628225188684,6.015658054751353,220.7387921815948,361.814965222616,8.554942717400545,-0.023708353710680793,-8.32049796260123,-31.097097615628524
muestra_2,1,n,6,1.3730224119825731,5.826561846465721,199.84411713190966,296.53937201020904,6.8321827448907895,-0.01982175073126522,-6.075367402031716,-21.18601286855654
muestra_2,1,n,7,1.3596724084577705,5.8837702009957855,223.6556753247558,282.18625350909304,4.024420107006446,-0.012214162163614654,-3.4968635134067547,-15.568445539999459
muestra_2,1,n,8,1.3744227519142758,5.820625414456882,190.02829571467055,439.39708441824314,14.511732495160953,0.006535012561868847,2.097720732769722,9.141693272863991
muestra_2,1,n,9,1.1272649598147506,7.096823094115053,218.69109746470494,403.6519607127134,10.610608890527157,-0.02014765869916128,-5.94781094673025,-43.56961933583885
muestra_2,1,n,10,1.2636042357212904,6.331096219722183,190.48477029708667,309.71944580338044,8.415435723532793,-0.011401244265399626,-1.411231915991546,-9.005637949506466
muestra_2,2,n,1,1.421740416814533,5.6269062237988035,281.5796630064294,436.55062371464214,7.591269878334829,-0.011462349100128475,-4.832901639384319,-21.896817092025383
muestra_2,2,n,2,1.3643738054344823,5.863495742981092,194.72372502076436,341.56975485782976,9.729018740893805,-0.03601374078618141,-9.635875881364802,-27.7533592262885
muestra_2,2,n,3,1.3315792448514223,6.007903796136925,274.247800941466,402.7947141779606,6.654776385125045,-0.012916639106636848,-4.245901232833928,-20.937777149163654
muestra_2,2,n,4,1.319070386548102,6.064877266280943,202.94076857347596,353.82040439335793,9.62350239705219,-0.029887161931147283,-8.884149390898674,-23.931458746606165
